model_name,native_auc_fold_0,native_five_sec_eval_auc_fold_0,native_mean_auc,native_five_sec_eval_mean_auc,native_auc_fold_1,native_five_sec_eval_auc_fold_1,native_auc_fold_2,native_five_sec_eval_auc_fold_2,native_auc_fold_3,native_five_sec_eval_auc_fold_3,native_auc_fold_4,native_five_sec_eval_auc_fold_4,difficulty_auc_fold_0,difficulty_five_sec_eval_auc_fold_0,difficulty_mean_auc,difficulty_five_sec_eval_mean_auc,difficulty_auc_fold_1,difficulty_five_sec_eval_auc_fold_1,difficulty_auc_fold_2,difficulty_five_sec_eval_auc_fold_2,difficulty_auc_fold_3,difficulty_five_sec_eval_auc_fold_3,difficulty_auc_fold_4,difficulty_five_sec_eval_auc_fold_4,acc_auc_fold_0,acc_five_sec_eval_auc_fold_0,acc_mean_auc,acc_five_sec_eval_mean_auc,acc_auc_fold_1,acc_five_sec_eval_auc_fold_1,acc_auc_fold_2,acc_five_sec_eval_auc_fold_2,acc_auc_fold_3,acc_five_sec_eval_auc_fold_3,acc_auc_fold_4,acc_five_sec_eval_auc_fold_4,subj_acc_auc_fold_0,subj_acc_five_sec_eval_auc_fold_0,subj_acc_mean_auc,subj_acc_five_sec_eval_mean_auc,subj_acc_auc_fold_1,subj_acc_five_sec_eval_auc_fold_1,subj_acc_auc_fold_2,subj_acc_five_sec_eval_auc_fold_2,subj_acc_auc_fold_3,subj_acc_five_sec_eval_auc_fold_3,subj_acc_auc_fold_4,subj_acc_five_sec_eval_auc_fold_4
clrgaze_random_window_size_5000_sd_0.1_sd_factor_1.25_embedding_size_512_stimulus_video_model_random_-1baseline_1000_fine-tune,0.7724820143884893,0.7237377372069239,0.7041340847771791,0.6429783350049858,0.7447564877355138,0.6814908253516583,0.6969867115852517,0.5994065224007554,0.8115350305359226,0.7120673683609304,0.4949101796407186,0.498189221704661,0.5831827762722072,0.5486247938752786,0.5660164304910216,0.5473278449029709,0.5961960723674037,0.5774035743718627,0.4897933307975149,0.5012902514780772,0.5942998994469583,0.5570485710624118,0.5666100735710243,0.5522720337272244,0.5080143168378461,0.4866611642635764,0.5919677047235812,0.5547854878485686,0.7013527882797733,0.6377713682857673,0.5846281540504649,0.5465241543212159,0.6376276276276277,0.5877064810916566,0.5282156368221942,0.5152642712806265,0.6368500430910659,0.5934033314279411,0.5771824608460949,0.562062251172358,0.6531204644412192,0.6314525715400248,0.509896654405325,0.5136883825922621,0.6159119235562942,0.5937682625947951,0.4701332187365707,0.4779987077067669
clrgaze_random_window_size_5000_sd_0.1_sd_factor_1.25_embedding_size_512_stimulus_video_model_random_-1baseline_1000_distance,0.3795437334343052,0.4170328144135954,0.4353882379506747,0.4519208760064403,0.3699490460955089,0.435426299536932,0.4298770977603094,0.4511613327818661,0.4195773004872024,0.448924879922465,0.5779940119760479,0.5070590533773431,0.454983438723276,0.4853347420846992,0.523179116330231,0.5135241077784244,0.6295345600742229,0.5805604367163183,0.5327437555471028,0.5192818675314935,0.525138260432378,0.4885584299079109,0.4734955668741747,0.4938850626516997,0.4964596949891067,0.5390653775322284,0.513941769754809,0.5166645104644106,0.5592509451795841,0.5154482007048785,0.5943891102257636,0.5536929446932037,0.4417717717717718,0.4819619816524148,0.4778373266078184,0.4931540477393281,0.3931700660729675,0.458326062757604,0.5215172271943221,0.5169061355520507,0.6450774068698597,0.5707580945151549,0.7196239855199393,0.6331953433376081,0.4164243179615012,0.4706820688322172,0.4332903595473428,0.4515691083176691
clrgaze_random_window_size_5000_sd_0.1_sd_factor_1.25_embedding_size_512_stimulus_video_model_random_-1baseline_1000_rf,0.7155433547898524,0.6665763923083722,0.5770780417176745,0.5636069950781855,0.5926057589761821,0.5885079408356622,0.5822571588994947,0.5536610791589605,0.57791806765937,0.5624108677531803,0.4170658682634729,0.4468786953347524,0.422387834989461,0.4653180512818224,0.4880127450683034,0.4863701695665925,0.4833152930261327,0.5013451570939158,0.5068784075060225,0.4847871286662966,0.516748366013072,0.505026455026455,0.5107338238068289,0.4753740557644728,0.4768129474011827,0.4707317073170731,0.5621935442524872,0.5363167027343619,0.6104087901701323,0.5766099915202587,0.5347941567065073,0.537454376998469,0.6382582582582583,0.5648029562750086,0.5506935687263556,0.5319844815610002,0.400280091927607,0.3925278538263285,0.5070731258778581,0.4981049820258738,0.5678821964199323,0.5622201195035359,0.500525486074619,0.5313236665341763,0.6830078936435396,0.6086216501995384,0.3836699613235926,0.3958316200657894
ekyt_random_window_size_5000_sd_0.1_sd_factor_1.25_embedding_size_128_stimulus_video_model_random_-1baseline_1000_fine-tune,0.8112930708065126,0.4217862552063612,0.7205106579533884,0.4154386891470856,0.7697594501718213,0.3332296480625666,0.6982968369829683,0.5754101940233326,0.8561380635421669,0.1759589652096342,0.467065868263473,0.570808383233533,0.5374134296898525,0.5135877747666365,0.5454346092008334,0.5509720748950722,0.5560847379001083,0.6535178599041287,0.5352478762520604,0.4711709141625459,0.5683760683760684,0.6297134238310709,0.5300509337860779,0.4868704018109791,0.4933473389355743,0.5002723311546842,0.5738679196941082,0.4730723170078555,0.6547140831758034,0.4461690689981096,0.5482403718459495,0.5036354581673307,0.5995195195195195,0.3830180180180181,0.5735182849936948,0.532266708701135,0.6590778511921862,0.4201378914105142,0.6223384657894663,0.4407530087050145,0.5695754716981132,0.4039671020803096,0.6333274945991709,0.4758422374029311,0.7181830771361308,0.2709285417532198,0.5315284343217304,0.6328892708780977
ekyt_random_window_size_5000_sd_0.1_sd_factor_1.25_embedding_size_128_stimulus_video_model_random_-1baseline_1000_distance,0.6044112078758046,0.5489709985732864,0.5662523193258907,0.5558617306145734,0.6003377177390687,0.58627758714557,0.5966373448125273,0.5982118934835823,0.5654292184176216,0.5764997867073143,0.4644461077844311,0.469348387163114,0.5570611261668172,0.5495396640864352,0.4921543227075141,0.5041216664764632,0.3697850626256378,0.4196668778052485,0.4924876378851273,0.5157336759667814,0.5460972850678734,0.5486561945039453,0.4953405017921147,0.4870119200199058,0.4673980703392467,0.4695060189552172,0.4665478797644449,0.4835962060145437,0.3777469281663516,0.4409871280175954,0.5005312084993361,0.4994339526959888,0.4711111111111111,0.4837919639982593,0.515952080706179,0.524261966405658,0.6097744900890549,0.5566493175687195,0.514284392187597,0.5221766833098931,0.4473270440251572,0.4904187192334625,0.4784258772698079,0.4896351264533321,0.5188339565157181,0.5349459370345526,0.5170605930382466,0.5392343162593985
ekyt_random_window_size_5000_sd_0.1_sd_factor_1.25_embedding_size_128_stimulus_video_model_random_-1baseline_1000_rf,0.6686861037485801,0.6508402459502797,0.5562171418367822,0.5437572723657798,0.640745348974997,0.5646560984427214,0.5673466841350053,0.5470646075087987,0.5935291292115557,0.5600423372594656,0.3107784431137724,0.3961830726676332,0.5013173742848539,0.4797294884982963,0.5005071759977044,0.4963248510780413,0.4872738518633061,0.477173620618023,0.457810320781032,0.4726658208351422,0.5217445952740071,0.5237838926420241,0.5343897377853235,0.5282714327967212,0.5345860566448801,0.5229702870233122,0.5973251459270188,0.5745391504787815,0.7002599243856331,0.6521740930651615,0.5887118193891102,0.5988424127046782,0.5484084084084084,0.536071614311541,0.6146595208070618,0.5626373452892145,0.3743536340132146,0.3933622150686442,0.5748728019272019,0.5661637848469037,0.7790275761973875,0.7372257643367781,0.6764173527179308,0.6688524456976869,0.6591192355629414,0.6342171386990779,0.3854462111445351,0.3971613604323308
EKYT,0.5663574403634987,0.7367947747065505,0.5495248704426267,0.6641701896913161,0.4986076549354189,0.6917585021922029,0.5932684509326844,0.6409320606400899,0.5372949975982982,0.7314554312770192,0.5520958083832335,0.5199101796407186,0.5523185787413429,0.4894610057211684,0.4944957634297692,0.4930496139033299,0.5341425699706199,0.4305860522653471,0.4556548751109421,0.4934385697984025,0.4267219708396178,0.5690987933634992,0.5036408224863232,0.4826636483682324,0.5098039215686275,0.5278166822284469,0.5661219194367156,0.5287056204356555,0.5910473771266539,0.6025372164461247,0.6383798140770252,0.4057104913678619,0.5503003003003003,0.5893993993993994,0.5410781841109711,0.5180643127364439,0.5625179546107439,0.4050919276070095,0.5852506895709357,0.5203705224500607,0.580475931301403,0.4264181180454765,0.6406842996438373,0.6184095288141531,0.5970087245533859,0.5398144301343304,0.5455665377453086,0.6121186076493339
CLRGaze,0.7101003407800076,0.4982014388489209,0.5280517123597885,0.4989302802431429,0.5566714065647589,0.5111980092428012,0.4383929128454676,0.5556179424792563,0.5149591710697866,0.4073286214231798,0.4201347305389221,0.5223053892215569,0.6048253538090936,0.4784703402589581,0.516059339929253,0.4901537126405483,0.5661976186794495,0.4722746250193289,0.4772093318118423,0.4305819703309243,0.3866578682755153,0.5855329311211663,0.545406527070364,0.4839086964723637,0.3603330220977279,0.5312402738873327,0.5596194299789252,0.5045435436638797,0.7455990075614367,0.3573369565217391,0.59800796812749,0.6460491367861885,0.5413513513513513,0.4200900900900901,0.5528058007566204,0.5680012610340479,0.4440175237000862,0.4421861534041942,0.5687344107624874,0.4397608703862281,0.8107160135462024,0.3121371552975326,0.6547264553044899,0.6652653704676825,0.5015233347181831,0.3637307852098047,0.4326887265434751,0.4154848875519267
